dedup_wf_001::680d4358139befdb9b30234bb1af992d,"View of the Puxi in the evening. Centre, Jiushi Building, background, Indigo Hotel."
od______3549::0655875a37157789139abd26ddbb410a,"The EU-funded MESMA project aims at developing tools for the monitoring and evaluation of spatially managed areas (SMAs). The Strait of Sicily (central Mediterranean), which is one of the selected case studies, is an area characterized by several human activities impacting on the ecosystem and generating conflicts. The main output of MESMA will be a generic framework for the evaluation of SMAs coupled to a governance analysis carried out in each case study."
r3c4b2081b22::0367a5ba8859a2c96d312a6cac870481,Business assessment for vertical markets empowerment
r3c4b2081b22::d9790a6e17bbe948edcb6393547dfbbf,"Initial version of a communication master plan, including a detailed overview of actions to be undertaken over CIRCUSOL duration, in relation with each Task of the project where communication and dissemination actions can be undertaken. It will include specific communications of the 5 demos. The master plan will be reviewed and improved constantly according to actual developments.  Links to Task 5.6."
r3c4b2081b22::e41c637118ab854ba5fc352cb77b4ef4,Definition of each cell population in the pancreas
dedup_wf_001::123de8d226f7c7630f45930048e786f0,
dedup_wf_001::64b7d1714798a88ff8ca51293b51b27d,"We investigate the determinants of agricultural land price in several regions in France during 1994-2011 using individual plots transaction data, with a particular emphasis on agricultural subsidies and nitrate zoning regulations. We found a positive but relatively small capitalisation effect of the total subsidies per hectare. The magnitude of capitalisation depends on the region, the type of subsidy, and the location of the plot in a nitrate surplus zone or not. Only land set-aside premiums significantly capitalise into land price, while single farm payments have a significant positive capitalisation impact only for plots located in a nitrate surplus zone."
doi_________::45d71e625e4a06d71edb86c872b68778,"Porous poly(ionic liquids) (PPILs) with both advantages of ionic liquids (ILs) activities and porous properties have caused great interests in adsorptive desulfurization. High density of active functional groups and large surface area in PPILs are two critical factors for enhancing the desulfurization performance; however, there is usually a trade-off between them. In this work, a novel PPIL of poly(bipropargyl-imidazolium chloride) (P[BPPIM]) was fabricated through a single-step cyclotrimerization homopolymerization. Through this full-atomic utilization method, the mass density of active imidazolium groups were maximized; meanwhile, the introduction of rigid benzene rings within imidazolium rings propped up the porous structure in P[BPPIM], with a surface area of 160.8 m2·g–1 and pore volume of 0.39 cm3·g–1. On the basis of the density function theory calculation, the binding energies of dibenzothiophene (DBT) over P[BPPIM] were significantly increased due to the synergistic effect of the imidazolium rin..."
doi_________::d5020e01e6389768dbfd28d79f18547e,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_________::e3bb810f983c2781be079d8f2d0a0898,"Belgium Herbarium image of <a href=\""https://www.plantentuinmeise.be\"">Meise Botanic Garden</a>."
doi_dedup___::15ea12f65aea08dcc73b5aecba9a868b,"The paper introduces the notion of state for involutive bisemilattices, a variety which plays the role of algebraic counterpart of paraconsistent weak Kleene logic and whose elements are represented as Plonka sum of Boolean algebras. We investigate the relations between states over an involutive bisemilattice and probability measures over the (Boolean) algebras in the Plonka sum representation and, the direct limit of these algebras. Moreover, we study completition of involutive bisemilattices, as pseudometric spaces, and the topology induced by the pseudometric."
doi_dedup___::18954900f50f1f67e79bd89daa5a4400,"Leptospira (L.) interrogans are bacteria responsible for a worldwide reemerging zoonosis. Some animals asymptomatically carry L. interrogans in their kidneys and excrete bacteria in their urine, which contaminates the environment. Humans are infected through skin contact with leptospires and develop mild to severe leptospirosis. Previous attempts to construct fluorescent or bioluminescent leptospires, which would permit in vivo visualization and investigation of host defense mechanisms during infection, have been unsuccessful. Using a firefly luciferase cassette and random transposition tools, we constructed bioluminescent chromosomal transformants in saprophytic and pathogenic leptospires. The kinetics of leptospiral dissemination in mice, after intraperitoneal inoculation with a pathogenic transformant, was tracked by bioluminescence using live imaging. For infective doses of 106 to 107 bacteria, we observed dissemination and exponential growth of leptospires in the blood, followed by apparent clearance of bacteria. However, with 2×108 bacteria, the septicemia led to the death of mice within 3 days post-infection. In surviving mice, one week after infection, pathogenic leptospires reemerged only in the kidneys, where they multiplied and reached a steady state, leading to a sustained chronic renal infection. These experiments reveal that a fraction of the leptospiral population escapes the potent blood defense, and colonizes a defined number of niches in the kidneys, proportional to the infective dose. Antibiotic treatments failed to eradicate leptospires that colonized the kidneys, although they were effective against L. interrogans if administered before or early after infection. To conclude, mice infected with bioluminescent L. interrogans proved to be a novel model to study both acute and chronic leptospirosis, and revealed that, in the kidneys, leptospires are protected from antibiotics. These bioluminescent leptospires represent a powerful new tool to challenge mice treated with drugs or vaccines, and test the survival, dissemination, and transmission of leptospires between environment and hosts."
